Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Chad,TCD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.6780982595188,21.7007762031515,21.7207031172239,21.7377792120134,21.7519046977973,21.7629797848529,21.7709046834576,21.7755796038887,21.7784396568755,21.8472378191095,21.9558736797638,22.1061904148178,22.2975929852391,22.5294513486009,22.8011258828974,23.1119734707179,23.461349471105,23.8486084924975,24.2731047386633,24.7341921795416,25.2312246423075,25.7635558629694,26.3305395171046,26.9315292389497,..
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.6597442626953,39.0897827148438,40.5302314758301,41.7600135803223,42.9899978637695,44.3430099487305,45.8892440795898,46.9895057678223,48.3417053222656,49.2340270628041,51.8300285339355,53.1003112792969,54.4900016784668,55.7502555847168,57.3297843933105,58.8399238586426,60.2402687072754,61.5001983642578,62.7099151611328,63.5234230266258,64.721076965332,65.2176361083984,65.5301448035523,65.8946980998325,..
"Congo, Dem. Rep.",COD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.4153526820763,35.937064393184,36.4654627231369,37,37.4018738621901,37.8024827128113,38.201781337298,38.5997245210844,38.9962670496049,39.391363708294,39.7849692825859,40.1770385579151,40.5675263197158,40.9563873534225,41.3435764444694,41.7290483782911,42.1127579403217,42.4946599159958,42.8747090907476,43.2528602500115,43.6290681792218,44.003287663813,44.3754734892194,44.7455804408753,..
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.4670149035012,43.859032147728,44.2593744150531,44.667357886658,45.082298743724,45.5035131674326,45.930317338965,46.3620274395029,46.7979596502274,47.2374301523201,47.6797551269623,48.1242507553354,48.5702332186208,49.0173144557368,49.4694894689553,49.929991034032,50.3977309654344,50.8718477756395,51.3514799771241,51.8357660823651,52.3183461956059,52.8492549676673,53.4075201638704,53.9733113940142,..
Curacao,CUW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.060147058155,91.0970316517813,91.1278267399674,91.1534053060108,91.1746923604573,91.1926129138527,91.2080919767428,91.2220545596735,91.2354256731905,91.2491303278397,91.2639416184104,91.2791300612311,91.2938785868797,91.3082030810948,91.3220471649755,91.3353544596205,91.3480685861287,91.3601331655991,91.3714918191305,91.3820881678218,91.391865832772,91.4007684350799,91.4080929292235,91.4321812441765,..
Denmark,DNK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.188307882087,85.3000030517578,85.4199981689453,85.7130276911593,86.0059706832865,86.2501288149818,86.4251464366349,86.583137512207,86.7617653139929,86.8652420043945,87.1567653955846,87.2336196899414,87.5436524760432,87.6823985731907,87.7254056577329,87.6999969482422,88.0161943799509,88.1059762310689,88.2096490810669,88.2394485473632,88.2616449318149,88.3880239837703,88.552638542867,88.6960552688405,..
Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.2979450293469,63.2914022524877,64.426197134766,65.8914085229291,67.5759180469321,69.333853706035,71.0193434994977,72.4865154265802,73.5894974865426,74.1642773174177,74.2440389501301,74.2398679969568,74.2251359951216,74.1931533822153,74.1372305958285,74.0506780735522,73.926806252977,73.7589255716938,73.5403464672933,73.2643793773663,72.9243347395035,72.4203155643711,72.3577991823338,72.4121874752151,..
El Salvador,SLV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.4526760394716,58.3486233966841,59.2468576589718,60.1425374326239,61.0308213239291,61.9068679391763,62.7676878093683,63.6372503452723,64.5299047495248,65.4327927543162,66.334413642034,67.2232666950659,68.0878511957995,68.9166664266223,69.6982116699219,70.3990173339844,71.0856704711914,71.7577209472656,72.4148941040039,73.0570220947266,73.6838531494141,74.1465021298679,74.6080675149903,75.0674905102199,..
Estonia,EST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.3926456349791,67.4090870965661,67.4341760348669,67.467351453949,67.5080523578799,67.5557177507269,67.6097866365576,67.6696980194394,67.7348909034398,67.8048042926262,67.8775556334506,67.9629593320316,68.0923458296768,68.2668382808032,68.4796609690553,68.724038178078,68.9931941915158,69.2803532930133,69.5787397662154,69.8815778947665,70.1777274135822,70.4892333736738,70.6770085523126,70.6981161541961,..
Faroe Islands,FRO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.9342155456543,35.9365425109863,36.1276473999023,36.317985534668,36.3320579528809,36.4584197998047,36.2929878234863,36.4679222106934,36.8888092041016,37.2536926269531,37.2975959777832,37.3244972229004,37.7414817810059,37.9093894958496,38.1431503295898,38.3200225830078,38.3324699401855,38.4058837890625,38.3945655822754,38.6689987182617,38.8083763122559,38.9959824546757,39.1975270123645,39.4132325882965,..
France,FRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.9074413607811,77.2543866607525,77.4691216035138,77.4900500011961,77.4363315105438,77.3467240068648,77.2457976606157,77.1561901569367,77.1005391809676,77.0962844808803,77.1182717387509,77.1669464919916,77.2440721470918,77.3524296788613,77.7610919150066,78.5999114705779,78.6467804026368,78.6714432536599,78.6890784549356,78.7119131765249,78.7364603392338,78.7591921123356,78.7804323126547,78.7999750964116,..
"Gambia, The",GMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.3491979765917,49.5731153377033,50.6010077995371,51.5062022597801,52.3582132660613,53.1603285370566,53.9196109423854,54.6431233516671,55.3379286345209,56.0110896605662,56.6696692994225,57.3207304207091,57.970305611505,58.6141799655551,59.2458499408388,59.8652472486563,60.471712657237,61.0645869348107,61.643210849607,62.2069251698555,62.7550706637859,63.2869880996278,63.8020182456108,64.2994103409645,..
Ghana,GHA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.6410507317701,45.3484692124806,46.0547973581418,46.7572004525685,47.4528437795757,48.1388926229785,48.8125122665918,49.4708679942306,50.1111250897099,50.7296926788704,51.3304086646488,51.9197918381031,52.4985794475913,53.0663398797148,53.6226415210752,54.167052758274,54.6991419779128,55.218477566593,55.7246279109161,56.2171613974837,56.6952556826536,57.250609602871,57.8074737774654,58.3654868038581,..
